#,Source,Company,Title,Published,URL,LLM Extract,Newsletter Section (index),Status,Notes
14,BSE,Bajaj Finserv Home Loans,Schedule of Analyst/Institutional Investor Meeting,2026-05-19,https://www.bseindia.com/xml-data/corpfiling/AttachLive/bb48329b-3637-42da-9a95-691ecbe7fae5.pdf,,(dropped),Dropped — Routine / Other,
15,BSE,Bajaj Finserv Home Loans,Annual Secretarial Compliance Report for the financial year ended 31 March 2026.,2026-05-23,https://www.bseindia.com/xml-data/corpfiling/AttachLive/3753291a-86de-4ef7-af85-fb86056dfde6.pdf,,(dropped),Dropped — Routine / Other,
16,BSE,Bajaj Finserv Home Loans,Allotment of Secured Redeemable Non-Convertible Debentures on Private Placement basis,2026-05-27,https://www.bseindia.com/xml-data/corpfiling/AttachLive/92d1c660-cb63-4b43-91a8-cfbb76f7656f.pdf,,Competitor Intelligence — Funding & Capital,Kept,
17,BSE,Can Fin Homes,"We wish to inform that the Top Management team of the Company will be participating in the 16th Annual Global Investor Conference (Trinity India 360) organized by Capital 360 ONE (One on one/ Group) scheduled on Wednesday, May 27, 2026, from 11.00 a.m. onwards at Mumbai.  For details refer the attachment.",2026-05-22,https://www.bseindia.com/xml-data/corpfiling/AttachLive/fa393903-3332-4c9a-941e-6476234e94ca.pdf,,(dropped),Dropped — Routine / Other,
18,BSE,Can Fin Homes,"With reference to the above we wish to inform that, Shri Suresh S Iyer, MD & CEO and Top Management of the Company participated in the Analyst/Investor meetings held today i.e. on Wednesday, May 27, 2026, between 11:00 a.m. to 03:00 p.m. at Mumbai which was arranged by Capital 360 ONE. The details are enclosed as Annexure-I.

Further, Shri Abhishek Mishra, CFO, of the Company also participated in the Analyst/Investor meetings held today i.e. on ....",2026-05-27,https://www.bseindia.com/xml-data/corpfiling/AttachLive/2fed880e-9569-4d91-9400-3cfee3fce115.pdf,,(dropped),Dropped — Routine / Other,
19,BSE,Can Fin Homes,"With reference to the above we wish to inform that, Shri Suresh S Iyer, MD & CEO and Top Management of the Company participated in the Analyst/Investor meetings held today i.e. on Wednesday, May 27, 2026, between 11:00 a.m. to 03:00 p.m. at Mumbai which was arranged by Capital 360 ONE. The details are enclosed as Annexure-I.

Further, Shri Abhishek Mishra, CFO, of the Company also participated in the Analyst/Investor meetings held today i.e. on ....",2026-05-27,https://www.bseindia.com/xml-data/corpfiling/AttachLive/ad28cfc9-a333-42d9-bb81-843e503c00e5.pdf,,(dropped),Dropped — Routine / Other,
20,BSE,Can Fin Homes,"In continuation to the letter dated 22/05/2026, we wish to inform that the Top Management team of the Company are also participating in the Group Meeting organized by Ashika Institutional Equities scheduled on Wednesday, May 27, 2026, from 12.00 a.m. onwards at Mumbai.  For details please refer the attachment.",2026-05-27,https://www.bseindia.com/xml-data/corpfiling/AttachLive/b39632df-04b3-48b7-ac8f-d5217784f37a.pdf,,(dropped),Dropped — Routine / Other,
21,BSE,Cholamandalam Investment,Company confirms allotment of 31700 units of secured rates redeemable listed ncds on 21st May 2026.,2026-05-21,https://www.bseindia.com/xml-data/corpfiling/AttachLive/b0365f7f-bdda-44ea-9269-a41037448267.pdf,,Competitor Intelligence — Funding & Capital,Kept,
22,BSE,Cholamandalam Investment,Enclosed the copy of the publication of news paper in connection with the proposed transfer of equity shares to IEPFA.,2026-05-26,https://www.bseindia.com/xml-data/corpfiling/AttachLive/325a39e5-5286-4b80-8af6-453c6804aedb.pdf,,(dropped),Dropped — Routine / Other,
23,BSE,Cholamandalam Investment,Company confirms allotment of 500000 units of secured redeemable rated listed ncds on 27th May 2026.,2026-05-27,https://www.bseindia.com/xml-data/corpfiling/AttachLive/90ec963b-8594-4b99-a708-6f55d31b1e3b.pdf,,Competitor Intelligence — Funding & Capital,Kept,
24,BSE,Cholamandalam Investment,Enclosed the intimation on allotment of 116696 equity shares on exercise of ESOPS.,2026-05-27,https://www.bseindia.com/xml-data/corpfiling/AttachLive/654d7edd-d556-4cd5-9f6e-75c5bba2d4a2.pdf,,(dropped),Dropped — Routine / Other,
25,BSE,HDFC Ltd,Allotment of Equity Shares under ESOP,2026-05-19,https://www.bseindia.com/xml-data/corpfiling/AttachLive/df9ee259-ba8b-47d1-8c5d-8edb8d3fe34a.pdf,,(dropped),Dropped — Routine / Other,
26,BSE,HDFC Ltd,"Intimation under Regulations 30 and 44 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",2026-05-20,https://www.bseindia.com/xml-data/corpfiling/AttachLive/b19087dc-a8fc-47c6-a6ee-2a3238bad3db.pdf,,(dropped),Dropped — Routine / Other,
27,BSE,HDFC Ltd,"Intimation of Schedule of Analyst / Institutional Investor Meetings under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",2026-05-26,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4698e91a-e83c-4ba1-a38d-49b4665d32f2.pdf,,(dropped),Dropped — Routine / Other,
28,BSE,HDFC Ltd,Publication of Notice in newspapers for transfer of equity shares to Investor Education and Protection Fund (IEPF),2026-05-26,https://www.bseindia.com/xml-data/corpfiling/AttachLive/0df45a09-ec26-4364-9b03-dde627e25b9f.pdf,,(dropped),Dropped — Routine / Other,
29,BSE,HDFC Ltd,Clarificatory response to the Letter/Email received on the news item appearing in Media/Publication,2026-05-28,https://www.bseindia.com/xml-data/corpfiling/AttachLive/85f0c3c9-80db-4632-8b7f-01eb2683ee07.pdf,,Competitor Intelligence — Risk & Governance,Kept,
30,BSE,HDFC Ltd,Allotment of 1316960 equity shares pursuant to exercise of ESOP/RSU,2026-05-29,https://www.bseindia.com/xml-data/corpfiling/AttachLive/d2217abf-f5e5-46f1-b64e-2765c25e53fe.pdf,,Competitor Intelligence — Funding & Capital,Kept,
31,BSE,Home First Finance,Intimation of Date of payment of Final Dividend to the Shareholders for FY26,2026-05-22,https://www.bseindia.com/xml-data/corpfiling/AttachLive/3ef45556-5a71-4bc6-85f3-5696dcfa4071.pdf,,(dropped),Dropped — Routine / Other,
32,BSE,Home First Finance,"Intimation under Regulation 42 of SEBI Listing Regulations - Record date for the purpose of determining the eligibility of equity shareholders for Dividend is Friday, May 29, 2026.",2026-05-22,https://www.bseindia.com/xml-data/corpfiling/AttachLive/ebad5ea3-6544-4f96-baf2-e625f6c1f742.pdf,,(dropped),Dropped — Routine / Other,
33,BSE,Home First Finance,Home First Finance Company India Limited falls under the category of Large Corporate,2026-05-22,https://www.bseindia.com/xml-data/corpfiling/AttachLive/b050171e-b7f6-4a9f-88f5-aa13d798a40a.pdf,,Competitor Intelligence — Risk & Governance,Kept,
34,BSE,Home First Finance,"Annual Secretarial Compliance Report for the financial year ended on March 31, 2026",2026-05-25,https://www.bseindia.com/xml-data/corpfiling/AttachLive/39f58ed0-ec75-400b-8e89-0e6e6caef6e7.pdf,,(dropped),Dropped — Routine / Other,
35,BSE,Home First Finance,"Intimation of Schedule of Analyst / Institutional Investor meeting under the SEBI (Listing Obligations and Disclosure Requirements), Regulations 2015",2026-05-28,https://www.bseindia.com/xml-data/corpfiling/AttachLive/e7f93c0e-d9d9-41e0-a269-5d1fc6c58000.pdf,,(dropped),Dropped — Routine / Other,
36,BSE,Home First Finance,Business Responsibility and Sustainability Report - FY26,2026-05-29,https://www.bseindia.com/xml-data/corpfiling/AttachLive/97c16fbd-bdcb-4385-b83c-846cb400009c.pdf,,(dropped),Dropped — Routine / Other,
37,BSE,Home First Finance,Integrated Annual Report - FY26,2026-05-29,https://www.bseindia.com/xml-data/corpfiling/AttachLive/760e5dcb-6d4c-476e-8cb8-3731b87e0eed.pdf,,(dropped),Dropped — Routine / Other,
38,BSE,Home First Finance,"Notice of the 17th Annual General Meeting Scheduled to be held on June 24, 2026",2026-05-29,https://www.bseindia.com/xml-data/corpfiling/AttachLive/2b2e6971-5eca-4f10-938f-130ffa25beb4.pdf,,Competitor Intelligence — Risk & Governance,Kept,
39,BSE,Home First Finance,Newspaper Advertisement for Intimation of the 17th Annual General Meeting of the Company,2026-05-29,https://www.bseindia.com/xml-data/corpfiling/AttachLive/9a1e0832-cf1e-4306-baa6-611f1fdfb30a.pdf,,(dropped),Dropped — Routine / Other,
40,BSE,Home First Finance,Newspaper advertisement regarding e-voting information for the 17th Annual General Meeting of the Company,2026-05-31,https://www.bseindia.com/xml-data/corpfiling/AttachLive/cf23ad54-1eef-45a8-8d9c-18394519eb60.pdf,,(dropped),Dropped — Routine / Other,
41,BSE,Indiabulls Housing Finance,"We refer to our  intimation dated May 14, 2026, inter alia informing about the meeting of the Board of Directors of the Company scheduled on Wednesday, May 20, 2026, to consider and approve the Audited Standalone and Consolidated Financial Results of the Company for the quarter and Financial year ended March 31, 2026. In this connection, this is to inform you that a conference call will be held on Wednesday, May 20, 2026, at 5:00 PM IST in respect ....",2026-05-17,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4f7c974b-aee5-456c-ae0b-e6a07dd5a3b2.pdf,,(dropped),Dropped — Routine / Other,
42,BSE,Indiabulls Housing Finance,"In accordance with the Regulation 30 and other applicable provisions of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, please see attached the press release - ""Sammaan Capital Limited Marks Transformative Year as It Becomes a part of IHC Group"".",2026-05-20,https://www.bseindia.com/xml-data/corpfiling/AttachLive/1763f258-f8f7-4a9f-97b1-28d74d66210a.pdf,,(dropped),Dropped — Routine / Other,
43,BSE,Indiabulls Housing Finance,"We refer to our intimation dated May 17, 2026, informing about the conference call to be hosted by the Company on May 20, 2026 to discuss the financial results of the Company for the quarter and financial year ended March 31, 2026.

In this connection, pursuant to the provisions of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, as amended, the Company has uploaded the audio recording of the conference call hosted by it ....",2026-05-20,https://www.bseindia.com/xml-data/corpfiling/AttachLive/8e05cc7b-c4a0-4b48-b56e-f7f6db48e0c3.pdf,,(dropped),Dropped — Routine / Other,
44,BSE,Indiabulls Housing Finance,"Revised Earning Updates for the quarter and financial year ended March 31, 2026. 

For details refer attachment.",2026-05-20,https://www.bseindia.com/xml-data/corpfiling/AttachLive/edf1768c-d683-480b-b8a7-fd9ae733cf97.pdf,,(dropped),Dropped — Routine / Other,
45,BSE,Indiabulls Housing Finance,"Please find enclosed Certificate of Security cover for the quarter  ended March 31, 2026, pursuant to Regulation 54 of the SEBI LODR Regulations read with relevant SEBI Circulars(s).",2026-05-20,https://www.bseindia.com/xml-data/corpfiling/AttachLive/13b80ec7-f46c-4f78-a601-74e017b2b352.pdf,,(dropped),Dropped — Routine / Other,
46,BSE,Indiabulls Housing Finance,"Please find enclosed statement of deviation or variation in the utilization of proceeds from the issue of equity shares and NCDs during the quarter ended March 31, 2026, confirming that there is no deviation or variation in utilization of such issue proceeds.",2026-05-20,https://www.bseindia.com/xml-data/corpfiling/AttachLive/b2ac020d-6895-47e9-919d-366fa3146bf2.pdf,,(dropped),Dropped — Routine / Other,
47,BSE,Indiabulls Housing Finance,"Please find enclosed Outcome of Board meeting held today i.e. on May 20, 2026.",2026-05-20,https://www.bseindia.com/xml-data/corpfiling/AttachLive/3de65ee6-74c1-4daf-bde1-bce4e6016880.pdf,,(dropped),Dropped — Routine / Other,
48,BSE,Indiabulls Housing Finance,"Pursuant to Regulations 30 & 51 of the SEBI (LODR) Regulations, 2015, we wish to inform you that the Board of Directors of the Company at its meeting held today i.e. May 20, 2026, which commenced at 2:00 PM and concluded at 3:35 P.M. has inter alia considered and approved a) the Audited Standalone and consolidated financial results of the Company for the quarter and financial year ended March 31, 2026; b) Enabling authorization to raise the funds ....",2026-05-20,https://www.bseindia.com/xml-data/corpfiling/AttachLive/76da791c-e1a0-4cda-bad0-d51d5da4da97.pdf,,(dropped),Dropped — Routine / Other,
49,BSE,Indiabulls Housing Finance,"Outcome of Board Meeting held on May 20, 2026.",2026-05-20,https://www.bseindia.com/xml-data/corpfiling/AttachLive/eb0f1f3b-8cd0-4829-964a-ed09550a5926.pdf,,(dropped),Dropped — Routine / Other,
50,BSE,Indiabulls Housing Finance,"Pls. find enclosed an Earnings Update of Sammaan Capital Limited for the quarter and financial year ended March 31, 2026, for your information and records.",2026-05-20,https://www.bseindia.com/xml-data/corpfiling/AttachLive/01aebd13-5c8a-427a-acfb-69856403afa5.pdf,,(dropped),Dropped — Routine / Other,
51,BSE,Indiabulls Housing Finance,"ICRA, an Affiliate of Moody''s, upgrade Sammaan Capital Limited to AA+. All three domestic rating agencies complete upgrade cycle within 50 days of IHC''s investment.

Refer attached PDF file for more details.",2026-05-20,https://www.bseindia.com/xml-data/corpfiling/AttachLive/54f250b2-dc84-4e82-9554-f63170e608ae.pdf,,Competitor Intelligence — Risk & Governance,Kept,rating-enriched
52,BSE,Indiabulls Housing Finance,"We hereby certify that our Company has made timely payment of interest amount in respect of the Secured Redeemable NCDs issued by our Company through Public Issue and listed on the Stock Exchanges.

Refer attached PDF file for more details.",2026-05-22,https://www.bseindia.com/xml-data/corpfiling/AttachLive/93fa99ef-4a52-44f8-aa30-492a4f229315.pdf,,(dropped),Dropped — Routine / Other,
53,BSE,Indiabulls Housing Finance,"We hereby certify that our Company has made timely payment of interest amount in respect of the Secured and Unsecured Redeemable NCDs issued by our Company through Public Issue and listed on the Stock Exchanges.

Refer attached PDF file for more details.",2026-05-22,https://www.bseindia.com/xml-data/corpfiling/AttachLive/ab72e621-8ef3-4465-bbe6-0d755e6efcbd.pdf,,(dropped),Dropped — Routine / Other,
54,BSE,Indiabulls Housing Finance,"We hereby certify that our Company has made timely payment of interest amount in respect of the Secured Redeemable NCDs issued by our Company through Public Issue and listed on the Stock Exchanges.

Refer attached PDF file for more details.",2026-05-22,https://www.bseindia.com/xml-data/corpfiling/AttachLive/dbd41403-19c0-4cf0-a540-79886c1f76ef.pdf,,(dropped),Dropped — Routine / Other,
55,BSE,Indiabulls Housing Finance,Please find enclosed the copy of the Post-Offer Advertisement received by the Company from Citigroup Global Markets India Private Limited in relation to the open offer to the public shareholders of the Company.,2026-05-22,https://www.bseindia.com/xml-data/corpfiling/AttachLive/c0e0b46b-8b1b-4a51-92e7-f226d27e1927.pdf,,(dropped),Dropped — Routine / Other,
56,BSE,Indiabulls Housing Finance,"Citigroup Global Markets India Private Limited (""Manager to the Offer"") has submitted to BSE a copy of Post Offer Advertisement in accordance with Regulation 18(12) of the SEBI (SAST) Regulations, 2011, and subsequent amendments thereto, for the attention of the Public Shareholders of Sammaan Capital Ltd (""Target Company"").",2026-05-22,https://www.bseindia.com/xml-data/corpfiling/AttachLive/94C286B2-AEE0-4D73-848F-F2732BEDFFC1-083155.pdf,,(dropped),Dropped — Routine / Other,
57,BSE,Indiabulls Housing Finance,"We refer to our intimation dated May 20, 2026, informing that the Company has uploaded the audio recording of the conference call hosted by it on May 20, 206,on the financial results of the Company for the quarter and financial year ended March 31, 2026, on its website.

In this connection, pursuant to the provisions of SEBI (LODR) Regulations, 2015, as amended, please find enclosed the transcript of the said conference call. The said transcript ....",2026-05-23,https://www.bseindia.com/xml-data/corpfiling/AttachLive/337cb4e0-00c5-41dd-8f93-08666869d4c4.pdf,,(dropped),Dropped — Routine / Other,
58,BSE,Indiabulls Housing Finance,"Pursuant to Regulation 30 of the SEBI (LODR), Regulations, 2015, we wish to inform the Schedule of investor meeting with the Company as under:
Day & Date of Meeting - Friday, May 29, 2026.
Event  - B&K Conference.
Meeting Mode - One-on-One & Group Meeting.
Type of meeting - Physical.",2026-05-26,https://www.bseindia.com/xml-data/corpfiling/AttachLive/111c7886-0d83-406e-b208-0dfa2fa426ba.pdf,,(dropped),Dropped — Routine / Other,
59,BSE,Indiabulls Housing Finance,"We hereby certify that our Company has made timely payment of interest amount in respect of the Secured / Unsecured Redeemable NCDs issued by our Company through Public Issue and listed on the Stock Exchanges.

Refer attached PDF file for more details.",2026-05-26,https://www.bseindia.com/xml-data/corpfiling/AttachLive/e833d565-fb0b-45f6-9933-842c285eb26c.pdf,,(dropped),Dropped — Routine / Other,
60,BSE,Indiabulls Housing Finance,"We hereby certify that our Company has made timely payment of interest amount in respect of the Secured Redeemable NCDs issued by our Company through Public Issue and listed on the Stock Exchanges.

Refer attached PDF file for more details.",2026-05-26,https://www.bseindia.com/xml-data/corpfiling/AttachLive/e50eec53-8d4a-4779-ab6c-1c35e2893b18.pdf,,(dropped),Dropped — Routine / Other,
61,BSE,Indiabulls Housing Finance,"We hereby certify that our Company has made timely payment of interest amount in respect of the Secured Redeemable NCDs issued by our Company through Public Issue and lsited on the stock Exchanges.

Refer attached PDF for more details.",2026-05-26,https://www.bseindia.com/xml-data/corpfiling/AttachLive/e51f9da7-1543-4e54-8381-a8216a342960.pdf,,(dropped),Dropped — Routine / Other,
62,BSE,Indiabulls Housing Finance,"We hereby certify that our Company has made timely payment of interest amount in respect of the Secured Redeemable NCDs issued by our Company through Public Issue and listed on the Stock Exchanges.

Refer attached PDF file for more details.",2026-05-26,https://www.bseindia.com/xml-data/corpfiling/AttachLive/87fefa08-3d59-4468-9365-d79d4f29abef.pdf,,(dropped),Dropped — Routine / Other,
63,BSE,Indiabulls Housing Finance,"The Exchange has received the disclosure under Regulation 29(2) of SEBI (Substantial Acquisition of Shares & Takeovers) Regulations, 2011 for Avenir Investment RSC Ltd",2026-05-26,https://www.bseindia.com/xml-data/corpfiling/AttachLive/80B45F6C_427B_484F_89E5_D94653A33B50_161857.pdf,,Competitor Intelligence — Risk & Governance,Kept,
64,BSE,Indiabulls Housing Finance,"Pursuant to regulation 30 of SEBI LODR Regulations, this is to inform that the Company will participate in the below mentioned conference:
Date of Meeting : June 2, 2026
Investor/Event : BofA Securities 2026 India Conference
Type of Meeting : One-on-One & Group Meetings
Place: Mumbai",2026-05-27,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4463ff25-a065-47c0-8f34-443596d50712.pdf,,(dropped),Dropped — Routine / Other,
65,BSE,Indiabulls Housing Finance,"We hereby certify that our Company has made timely payment of principal and interest amount on Secured Redeemable NCDs  issued by our Company through Private placement basis and listed on the Stock Exchanges.

Refer attached PDF file for more details.",2026-05-27,https://www.bseindia.com/xml-data/corpfiling/AttachLive/265c5bc5-815c-4dad-892c-29994687cd23.pdf,,(dropped),Dropped — Routine / Other,
66,BSE,Indiabulls Housing Finance,"We hereby certify that our Company has made timely payment of interest amount in respect of the Secured Redeemable NCDs issued by our Company through Public Issue and listed on the Stock Exchanges.

Refer attached PDF file for more details.",2026-05-27,https://www.bseindia.com/xml-data/corpfiling/AttachLive/ff4a995b-8266-4b57-869c-38f5a7ae7622.pdf,,(dropped),Dropped — Routine / Other,
67,BSE,Indiabulls Housing Finance,"We hereby certify that our Company has made timely payment of interest amount in respect of the Secured Redeemable NCDs issued by out company through Public Issue and listed on the Stock Exchanges.

Refer attached PDF file for more details.",2026-05-27,https://www.bseindia.com/xml-data/corpfiling/AttachLive/b4c5892e-f2b3-4c09-ae1c-422538ece3a1.pdf,,(dropped),Dropped — Routine / Other,
68,BSE,Indiabulls Housing Finance,"We hereby certify that our Company has made timely payment of interest amount in respect of the Secured Redeemable NCDs issued by our Company through Public Issue and listed on the Stock Exchanges.

Refer attached PDF file for more details.",2026-05-27,https://www.bseindia.com/xml-data/corpfiling/AttachLive/a2924317-1640-4d6b-af46-106b8779ad12.pdf,,(dropped),Dropped — Routine / Other,
69,BSE,Indiabulls Housing Finance,"We hereby certify that our Company has made timely payment of interest amount in respect of the Secured Redeemable NCDs issued by our Company through Public Issue and listed on the Stock Exchanges.

Refer attached PDF file for more details.",2026-05-27,https://www.bseindia.com/xml-data/corpfiling/AttachLive/7175ecce-3588-4538-a1e7-445e44faa422.pdf,,(dropped),Dropped — Routine / Other,
70,BSE,Indiabulls Housing Finance,"We hereby certify that our Company has made timely payment of interest amount in respect of the Secured Redeemable NCDs issued by the Company through Public Issue and listed on the Stock Exchanges.

Refer attached PDF file for more details.",2026-05-27,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4628fb0d-c8d9-493c-923a-9e3085152f9d.pdf,,(dropped),Dropped — Routine / Other,
71,BSE,Indiabulls Housing Finance,"We hereby confirm that our company has made the timely payment of interest and principal on NCDs issued through public issue.

For details refer attached file.",2026-05-29,https://www.bseindia.com/xml-data/corpfiling/AttachLive/30ce94b1-7bc7-42b4-836b-99a4d5d6a10a.pdf,,(dropped),Dropped — Routine / Other,
72,BSE,Indiabulls Housing Finance,"We hereby certify that our company has made the timely payment of interest on NCDs issued through public issue.

For details refer attachment.",2026-05-29,https://www.bseindia.com/xml-data/corpfiling/AttachLive/34bcdd83-1d36-4be6-89bb-48feee50f0f3.pdf,,(dropped),Dropped — Routine / Other,
73,BSE,Indiabulls Housing Finance,"Pursuant to Regulation 24A of SEBI (LODR) Regulations, 2015, as amended, please find enclosed herewith the Annual Secretarial Compliance Report dated May 29, 2026, for the financial year ended March 31, 2026 issued by M/s Neelam Gupta and Associates, Practicing Company Secretary, Secretarial Auditors of the Company.",2026-05-30,https://www.bseindia.com/xml-data/corpfiling/AttachLive/61ac50d1-4562-45fc-a83f-b789fb733933.pdf,,(dropped),Dropped — Routine / Other,
74,BSE,L&T Finance Housing,Please find enclosed schedule of Institutional Investors / Analyst Meet,2026-05-26,https://www.bseindia.com/xml-data/corpfiling/AttachLive/fd6bcc2e-716f-4f31-b5d2-f1c4567fb9c7.pdf,,(dropped),Dropped — Routine / Other,
75,BSE,L&T Finance Housing,Please find enclosed intimation for designation as Senior Managerial Personnel,2026-05-27,https://www.bseindia.com/xml-data/corpfiling/AttachLive/3844d0ff-26a3-4fa4-ad7e-dfb1f9c81898.pdf,,(dropped),Dropped — Routine / Other,
76,BSE,L&T Finance Housing,Please find enclosed intimation for amendment to MOA of the Company.,2026-05-29,https://www.bseindia.com/xml-data/corpfiling/AttachLive/47df9b40-b2c9-4a10-8485-e41a2ef46595.pdf,,Competitor Intelligence — Risk & Governance,Kept,
77,BSE,L&T Finance Housing,"Please find enclosed voting results along with scrutinizer report for the AGM held on May 29, 2026",2026-05-29,https://www.bseindia.com/xml-data/corpfiling/AttachLive/5447394a-1699-4a4b-9f37-2e9d767a4669.pdf,,(dropped),Dropped — Routine / Other,
78,BSE,L&T Finance Housing,"Please find enclosed proceedings of AGM held on May 29, 2026",2026-05-29,https://www.bseindia.com/xml-data/corpfiling/AttachLive/49c3bdd2-e1b8-4b8f-823d-386b4d727b35.pdf,,(dropped),Dropped — Routine / Other,
79,BSE,L&T Finance Housing,Please find enclosed intimation for allotment of equity shares pursuant to exercise of ESOP,2026-05-29,https://www.bseindia.com/xml-data/corpfiling/AttachLive/464d7ded-6319-4463-8d52-7e336c6bbcf9.pdf,,Competitor Intelligence — Funding & Capital,Kept,
80,BSE,LIC Housing Finance,Transcript of the Post Earnings Concall for the Q4 2025-26,2026-05-21,https://www.bseindia.com/xml-data/corpfiling/AttachLive/35df07ed-a062-4537-b902-f7464f535290.pdf,,(dropped),Dropped — Routine / Other,
81,BSE,LIC Housing Finance,"Submission of Annual Secretarial Compliance Report for March, 2026",2026-05-27,https://www.bseindia.com/xml-data/corpfiling/AttachLive/e92629ca-fe36-432c-b5ea-f0ff9783aa1f.pdf,,Competitor Intelligence — Risk & Governance,Kept,
82,BSE,Repco Home Finance,"Participation in Investor Conference to be held on 27th May 2026 with the clients of 'Ashika Institutional Equities""",2026-05-19,https://www.bseindia.com/xml-data/corpfiling/AttachLive/616b48de-2112-4962-a823-7c8517a1e754.pdf,,(dropped),Dropped — Routine / Other,
83,BSE,Repco Home Finance,"Board recommends final dividend of Rs.3 for FY 2025-26, subject to approval of shareholders",2026-05-21,https://www.bseindia.com/xml-data/corpfiling/AttachLive/b4cadad0-13a9-49d8-9ab1-dcebe5ca367e.pdf,,(dropped),Dropped — Routine / Other,
