#,Source,Company,Title,Published,URL,LLM Extract,Newsletter Section (index),Status,Notes
15,BSE,Aditya Birla Housing Finance,Aditya Birla Capital Limited has informed the exchange about the earnings call transcript available on the website of the Company,2026-05-08,https://www.bseindia.com/xml-data/corpfiling/AttachLive/c13e4ff9-b065-4c49-8740-c985ce491caa.pdf,,(dropped),Dropped — Routine / Other,
16,BSE,Aditya Birla Housing Finance,Aditya Birla Capital Limited has informed the exchange about the Credit Rating,2026-05-11,https://www.bseindia.com/xml-data/corpfiling/AttachLive/882d8a29-fbf9-4c7d-8507-a73694b81e12.pdf,,Competitor Intelligence — Risk & Governance,Kept,
17,BSE,Aditya Birla Housing Finance,Allotment of 200 equity shares pursuant to ABCL Scheme 2017 and 271802 equity shares pursuant to ABCL Scheme 2022,2026-05-12,https://www.bseindia.com/xml-data/corpfiling/AttachLive/ce02cf4c-d131-4b92-bd6e-f271b708d62f.pdf,,Competitor Intelligence — Funding & Capital,Kept,
18,BSE,Aditya Birla Housing Finance,Aditya Birla Capital Limited has informed the Stock Exchanges regarding the allotment of its Non-Convertible Debentures.,2026-05-14,https://www.bseindia.com/xml-data/corpfiling/AttachLive/365403a1-2956-4c5c-8437-93083bab0972.pdf,,Competitor Intelligence — Funding & Capital,Kept,
19,BSE,Bajaj Finserv Home Loans,Transcript of earnings conference call held in respect of the financial results for the quarter ended 31 March 2026,2026-05-04,https://www.bseindia.com/xml-data/corpfiling/AttachLive/3738018f-7926-453a-a73c-8d2b04c86aad.pdf,,(dropped),Dropped — Routine / Other,
20,BSE,Bajaj Finserv Home Loans,Schedule of Analyst/Institutional Investor Meeting,2026-05-07,https://www.bseindia.com/xml-data/corpfiling/AttachLive/17005d4a-6a86-4682-b892-966ff70d9c87.pdf,,(dropped),Dropped — Routine / Other,
21,BSE,Bajaj Finserv Home Loans,Schedule of Analyst/Institutional Investor Meeting,2026-05-07,https://www.bseindia.com/xml-data/corpfiling/AttachLive/2ad3d28d-6b1d-4c21-a172-bbab434d2551.pdf,,(dropped),Dropped — Routine / Other,
22,BSE,Bajaj Finserv Home Loans,Schedule of Analyst/Institutional Investor Meeting,2026-05-07,https://www.bseindia.com/xml-data/corpfiling/AttachLive/dbbaa41b-4241-482c-8122-5d804cc008fd.pdf,,(dropped),Dropped — Routine / Other,
23,BSE,Bajaj Finserv Home Loans,Bajaj Housing Finance limited has informed the Exchange about Investor Presentation,2026-05-11,https://www.bseindia.com/xml-data/corpfiling/AttachLive/bceeb038-78aa-4a66-a1cb-d135e9c93048.pdf,,(dropped),Dropped — Routine / Other,
24,BSE,Bajaj Finserv Home Loans,Allotment of Secured Redeemable Non-Convertible Debentures on Private Placement basis,2026-05-12,https://www.bseindia.com/xml-data/corpfiling/AttachLive/95d6fc5e-e4b5-452d-acc1-55fb8d8f41e8.pdf,,Competitor Intelligence — Funding & Capital,Kept,
25,BSE,Can Fin Homes,"Please find enclosed the transcript of Q4 FY2026 Earnings Call held on April 27, 2026",2026-05-04,https://www.bseindia.com/xml-data/corpfiling/AttachLive/2cfc8a0e-e6f1-439e-b343-452c83f58bc8.pdf,,(dropped),Dropped — Routine / Other,
26,BSE,Can Fin Homes,"we wish to inform that, Shri Suresh S Iyer, Managing Director & CEO and Shri Abhishek Mishra, CFO of the Company participated in the Analyst/Investor meetings held today i.e. on Wednesday, May 06, 2026, between 09:00 a.m. to 05:30 p.m. at Mumbai. For details please refer attachment",2026-05-06,https://www.bseindia.com/xml-data/corpfiling/AttachLive/165e2ca7-f6e8-4c46-9fdb-7c0cca1d99c1.pdf,,(dropped),Dropped — Routine / Other,
27,BSE,Can Fin Homes,"we wish to inform that, Shri Suresh S Iyer, Managing Director & CEO and Shri Abhishek Mishra, CFO of the Company participated in the Analyst/Investor meetings held today i.e. on Thursday, May 07, 2026, between 08:30 a.m. to 05:00 p.m. at Mumbai. Refer attachment for details.",2026-05-07,https://www.bseindia.com/xml-data/corpfiling/AttachLive/a7431a89-7626-4850-9bf5-db501d07e621.pdf,,(dropped),Dropped — Routine / Other,
28,BSE,Cholamandalam Investment,"Audio Recording of the Earnings Call held on 4 May, 2026",2026-05-04,https://www.bseindia.com/xml-data/corpfiling/AttachLive/199909b7-a0c0-4f67-b972-220c4b7298bb.pdf,,(dropped),Dropped — Routine / Other,
29,BSE,Cholamandalam Investment,Company confirms allotment of 50000 units of secured listed redeemable rated ncds on 5th May 2026.,2026-05-05,https://www.bseindia.com/xml-data/corpfiling/AttachLive/40117221-5227-4fc6-83fd-7c1cae38d4f7.pdf,,Competitor Intelligence — Funding & Capital,Kept,
30,BSE,Cholamandalam Investment,Intimation on upload of transcript of Earnings call in Company''s website.,2026-05-11,https://www.bseindia.com/xml-data/corpfiling/AttachLive/981e8fad-4008-49a1-aa2d-83d8b10a0fdf.pdf,,(dropped),Dropped — Routine / Other,
31,BSE,HDFC Ltd,Receipt of approval from the Reserve Bank of India to HDFC Bank Limited for making investment in ICICI Bank Limited and Kotak Mahindra Bank Limited,2026-05-06,https://www.bseindia.com/xml-data/corpfiling/AttachLive/2fbcf40c-3662-42e8-a73f-840c986877ed.pdf,,Competitor Intelligence — Risk & Governance,Kept,
32,BSE,HDFC Ltd,Newspaper publication on communication to shareholders regarding deduction of tax at source on dividend,2026-05-13,https://www.bseindia.com/xml-data/corpfiling/AttachLive/0f77c547-5e06-4296-a5c8-4f3c993f55fa.pdf,,(dropped),Dropped — Routine / Other,
33,BSE,Home First Finance,Initmation of allotment of Equity shares against exercise of vested Employee stock options under ESOP Schemes of the Company,2026-05-04,https://www.bseindia.com/xml-data/corpfiling/AttachLive/30e003dd-82bc-4e9a-9c78-b6d3b9ae128d.pdf,,(intended) Capital,Dropped — Materiality cap,
34,BSE,Home First Finance,Reappointment of Joint Internal Auditors of the Company for FY27,2026-05-06,https://www.bseindia.com/xml-data/corpfiling/AttachLive/e58f7667-f78a-4b85-9f92-86f0709da19e.pdf,,(dropped),Dropped — Routine / Other,
35,BSE,Home First Finance,The Board has approved the reappointment of Independent Directors of the Company subject to approval of shareholders at the ensuing AGM,2026-05-06,https://www.bseindia.com/xml-data/corpfiling/AttachLive/54f9aec0-5164-46ec-b357-452036a433d8.pdf,,(dropped),Dropped — Routine / Other,
36,BSE,Home First Finance,"Approved the appointment of M/s. Batliboi & Purohit, Chartered Accountants as the joint statutory auditors of the company subject to the approval of shareholders at the ensuing AGM",2026-05-06,https://www.bseindia.com/xml-data/corpfiling/AttachLive/09b91027-b81a-46c6-8525-d98110b08f1e.pdf,,Competitor Intelligence — Operational Signals,Kept,Mr. Anuj Srivastava · Appointment · 2026-11-01
37,BSE,Home First Finance,"The Board has recommended a dividend on equity shares at the rate of Rs. 5.20/- per share (i.e. 260% of the face value os Rs. 2/-) for the financial year ended march 31, 2026 subject to approval of shareholders at the ensuing AGM",2026-05-06,https://www.bseindia.com/xml-data/corpfiling/AttachLive/aa035811-156d-41cc-aaa6-aaf5e29ad115.pdf,,Competitor Intelligence — Risk & Governance,Kept,
38,BSE,Home First Finance,"Investor Press Release on the Financial and Operational Performance of the Company for the quarter and  year ended March 31, 2026",2026-05-06,https://www.bseindia.com/xml-data/corpfiling/AttachLive/ddd98db8-6325-4687-91b8-c2aaa6f37631.pdf,,(dropped),Dropped — Routine / Other,
39,BSE,Home First Finance,"Investor Presentation on the Audited Financial Results of the Company for the quarter and year ended March 31, 2026",2026-05-06,https://www.bseindia.com/xml-data/corpfiling/AttachLive/fc3d7794-05e7-477c-bbd7-9aae4a0fb7fb.pdf,,(dropped),Dropped — Routine / Other,
40,BSE,Home First Finance,"Audited Financial Results for the quarter and year ended March 31, 2026",2026-05-06,https://www.bseindia.com/xml-data/corpfiling/AttachLive/1100ec13-aba4-45f5-bf5c-128f869b3c76.pdf,,(dropped),Dropped — Routine / Other,
41,BSE,Home First Finance,"Outcome of the Board Meeting held on Wednesday, May 06, 2026 and submission of Audited Financial Results for the quarter and year ended March 31, 2026.",2026-05-06,https://www.bseindia.com/xml-data/corpfiling/AttachLive/90f8da8d-5d2f-4582-8c9b-aac688700c8b.pdf,,(dropped),Dropped — Routine / Other,
42,BSE,Home First Finance,"Newspaper Publication of Audited Financial Results for the quarter and year ended March 31, 2026",2026-05-07,https://www.bseindia.com/xml-data/corpfiling/AttachLive/f3f859d4-0380-420f-8126-46618af9c432.pdf,,(dropped),Dropped — Routine / Other,
43,BSE,Home First Finance,"Audio Recording of the earnings conference call for the quarter and year ended March 31, 2026",2026-05-07,https://www.bseindia.com/xml-data/corpfiling/AttachLive/b1557147-a731-4c0a-bee9-a9911a34cf39.pdf,,(dropped),Dropped — Routine / Other,
44,BSE,Home First Finance,"Intimation of Schedule of Analyst / Institutional Investor meeting under the SEBI (Listing Obligations and Disclosure Requirements), Regulations 2015",2026-05-10,https://www.bseindia.com/xml-data/corpfiling/AttachLive/69567c89-3db1-421b-acc0-16c21cf93ed7.pdf,,(dropped),Dropped — Routine / Other,
45,BSE,Home First Finance,"Transcript of the Earnings Conference Call for the quarter and year ended on march 31, 2026",2026-05-12,https://www.bseindia.com/xml-data/corpfiling/AttachLive/167391ad-18b9-4bf6-8abd-c3d571dc4c63.pdf,,(dropped),Dropped — Routine / Other,
46,BSE,Home First Finance,"Intimation of Schedule of Analyst / Institutional Investor meeting under the SEBI (Listing Obligations and Disclosure Requirements), Regulations 2015",2026-05-15,https://www.bseindia.com/xml-data/corpfiling/AttachLive/279b5360-0056-4a5e-a636-1d8b19d2f162.pdf,,(dropped),Dropped — Routine / Other,
47,BSE,Indiabulls Housing Finance,"Citigroup Global Markets India Private Limited (""Manager to the Offer"") has informed BSE as under:<BR><BR>""Please note that in relation to the Open Offer, 41,110 Equity Shares, constituting 0.01% of the Offer Size, have been tendered in the Open Offer Escrow Demat Account namely 'MIIPL SAMMAAN CAPITAL LTD OPEN OFFER ESCROW DEMAT ACCOUNT' opened with Ventura Securities Limited bearing depository participant identification number IN303116 and client ....",2026-05-02,https://www.bseindia.com/xml-data/corpfiling/AttachLive/7F29F460-E29D-426D-B471-0A3F11512B8D-083915.pdf,,(intended) Capital,Dropped — Materiality cap,
48,BSE,Indiabulls Housing Finance,"Please find enclosed herewith the press release regarding tender as at the Expiration Time with respect to, and the completion of, its previously announced tender offer made by us,  upon the terms and subject to the conditions set fourth in the Tender Offer Memorandum, in an aggregate principal amount of US $ 45,000,000 of the outstanding US $ 450,000,000 8.5% Senior Secured Social Bonds due 2030 issued by the Company.",2026-05-05,https://www.bseindia.com/xml-data/corpfiling/AttachLive/d8904674-2dfc-4c0f-8c3a-2660bcf2bb27.pdf,,(intended) Strategy,Dropped — Materiality cap,
49,BSE,Indiabulls Housing Finance,"We hereby certify that our Company has made timely payment of interest amount in respect of the Secured Redeemable NCDs issued by our Company through Public Issue and listed on the Stock Exchanges.

Refer attached PDF file for more details.",2026-05-05,https://www.bseindia.com/xml-data/corpfiling/AttachLive/f5225b92-e452-43a2-b66c-6a82ec4ad5e1.pdf,,(intended) Funding,Dropped — Materiality cap,
50,BSE,Indiabulls Housing Finance,"In continuation to our earlier intimation dated December 31, 2025, informing about the decision taken by the Board of Directors of the Company approving Scheme of Arrangement between the Demerged Company i.e. SFL and the Resulting Company i.e. SCL and their respective shareholders and creditors under Section 230 to 232 read with Section 52, Section 66 and other applicable provisions of the Companies Act, 2013, and the rules framed thereunder, subject ....",2026-05-07,https://www.bseindia.com/xml-data/corpfiling/AttachLive/c08994b5-e261-4af4-acb4-e27970b4238c.pdf,,Competitor Intelligence — Growth & Strategy,Kept,
51,BSE,Indiabulls Housing Finance,"We hereby certify that our Company has made timely payment of principal and interest amount in respect of the Secured Redeemable NCDs issued by our Company on Private Placement basis and listed on the Stock Exchanges.

Refer attached PDF file for more details.",2026-05-07,https://www.bseindia.com/xml-data/corpfiling/AttachLive/dc6d2f7d-17fd-4576-8b9b-7bb714e2e773.pdf,,(intended) Funding,Dropped — Materiality cap,
52,BSE,Indiabulls Housing Finance,"We hereby certify that our company has made the timely payment of interest on NCDs issued through private placement.

For details refer attached PDF file.",2026-05-09,https://www.bseindia.com/xml-data/corpfiling/AttachLive/757d9c68-3a1c-4340-ae70-4ffb9044c750.pdf,,Competitor Intelligence — Funding & Capital,Kept,
53,BSE,Indiabulls Housing Finance,"We hereby certify that our company has made the timely payment of interest on the NCDs issued through public issue.

For details refer attached PDF.",2026-05-09,https://www.bseindia.com/xml-data/corpfiling/AttachLive/38357fbc-de85-42b6-8a02-92d295a830af.pdf,,Competitor Intelligence — Funding & Capital,Kept,
54,BSE,Indiabulls Housing Finance,"Pursuant to Regulation 30 of the SEBI (LODR) Regulations, 2015, we wish to inform you that CARE Ratings Limited has upgraded the credit rating assigned to the long-term  Debt programme of Sammaan Capital Limited (''the Company'' or ''SCL'') by two notches to ''CARE AA+; Stable''. Further, the rating assigned to the Commercial Paper and Short Term Non-Convertible Debentures of the Company has been reaffirmed at ''CARE A1+''. Also CARE Ratings has ....",2026-05-13,https://www.bseindia.com/xml-data/corpfiling/AttachLive/26c745ef-03b0-4f98-9295-3d8893159d95.pdf,,(dropped),Dropped — Routine / Other,
55,BSE,Indiabulls Housing Finance,"Sammaan Capital Ltdhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 20/05/2026 ,inter alia, to consider and approve consider and approve (a) the Audited Standalone and Consolidated Financial Results of the Company for the quarter and financial year ended March 31, 2026; and (b) raising of funds through the issuance of any kind(s) of debt securities, in one or more tranches, whether domestic or international, ....",2026-05-14,https://www.bseindia.com/xml-data/corpfiling/AttachLive/f58ec5e5-b8b6-4c9b-98ce-19a214514de2.pdf,,(dropped),Dropped — Routine / Other,
56,BSE,Indiabulls Housing Finance,"With the completion of International Holding Company PJSC (IHC) investment and Open Offer, Sammaan Capital has formally entered a new era. Sammaan Capital is now an IHC Group Company, with IHC, as the Promoter and controlling shareholder of the Company .

IHC is one of the world''s largest listed investment companies, with a market capitalization of approximately USD 232 billion and total assets of USD 117 billion, with a presence across 100+ countries......

Refer ....",2026-05-15,https://www.bseindia.com/xml-data/corpfiling/AttachLive/b9925775-15d5-4ffc-a839-92e27eccf2b9.pdf,,Competitor Intelligence — Funding & Capital,Kept,
57,BSE,Indiabulls Housing Finance,"With the completion of International  Holding Company PJSC (IHC) investment and Open Offer, Sammaan Capital has formally entered a new era. Sammaan Capital is now an IHC Group Company, with IHC, as the promoter and controlling shareholder of the Company.

IHC is one of the world''s largest listed investment companies, with a market capitalization of approximately USD 232 billion and total assets of USD 117 billioin, with a presence across 100+ ....",2026-05-15,https://www.bseindia.com/xml-data/corpfiling/AttachLive/f867d8f8-a835-4545-8619-f11a88856c2b.pdf,,(dropped),Dropped — Routine / Other,
58,BSE,Indiabulls Housing Finance,"With the completion of International Holding Company PJSC (IHC) investment and open offer, Sammaan Capital has formally entered a new era. Sammaan Capital is now an IHC Group Company, with IHC, as the promoter and controlling shareholder of the Company. 

IHC is one of the World''s largest listed investment companies, with a market capitalization of approximately USD 232 billion and total assets of USD 117 billion, with a presence across 100+ countries.........

Refer ....",2026-05-15,https://www.bseindia.com/xml-data/corpfiling/AttachLive/a1dc2d04-1fad-447e-a872-b526d9fd373a.pdf,,(dropped),Dropped — Routine / Other,
59,BSE,L&T Finance Housing,Please find enclosed Business Responsibility and Sustainability Reporting (BRSR),2026-05-04,https://www.bseindia.com/xml-data/corpfiling/AttachLive/f674dc1d-4da8-422b-a42c-b972a524e452.pdf,,Competitor Intelligence — Risk & Governance,Kept,
60,BSE,L&T Finance Housing,Please find enclosed newspaper publication regarding the Annual General Meeting of the Company,2026-05-04,https://www.bseindia.com/xml-data/corpfiling/AttachLive/035d00b7-07ea-4dc4-b3cb-211fdb4d94f0.pdf,,(dropped),Dropped — Routine / Other,
61,BSE,L&T Finance Housing,Please find enclosed Integrated Annual Report of the Company for financial year 2025-26,2026-05-04,https://www.bseindia.com/xml-data/corpfiling/AttachLive/49f14c1e-92cc-4468-8a31-a0a90c8f5d5b.pdf,,Competitor Intelligence — Risk & Governance,Kept,
62,BSE,L&T Finance Housing,Please find enclosed Integrated Annual Report of the Company for the financial year 2025-26.,2026-05-04,https://www.bseindia.com/xml-data/corpfiling/AttachLive/9c1891f8-e461-4f6c-b5f0-df5821e6acd1.pdf,,(dropped),Dropped — Routine / Other,
63,BSE,L&T Finance Housing,Please find enclosed transcript for the investor call.,2026-05-05,https://www.bseindia.com/xml-data/corpfiling/AttachLive/661bf44f-58a3-471b-9d47-3be55dcb2552.pdf,,(dropped),Dropped — Routine / Other,
64,BSE,L&T Finance Housing,Please find enclosed Annual Secretarial Compliance Report,2026-05-05,https://www.bseindia.com/xml-data/corpfiling/AttachLive/74ba8832-dbc9-45b2-9901-6fffd2e8ce74.pdf,,(dropped),Dropped — Routine / Other,
65,BSE,L&T Finance Housing,Please find enclosed newspaper publication regarding Annual General Meeting,2026-05-05,https://www.bseindia.com/xml-data/corpfiling/AttachLive/7fe5d9df-49ab-4346-a978-0dbe1f3edbd1.pdf,,(dropped),Dropped — Routine / Other,
66,BSE,L&T Finance Housing,Please find enclosed intimation for ESG Rating,2026-05-14,https://www.bseindia.com/xml-data/corpfiling/AttachLive/d694ad5a-756c-447a-89fd-7a34e6b1bfd3.pdf,,(dropped),Dropped — Routine / Other,
67,BSE,LIC Housing Finance,"LIC Housing Finance Ltdhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 13/05/2026 ,inter alia, to consider and approve Notice of Board Meeting to consider -
1) Recommend to the shareholder's for adoption of the Audited Financial Results for the Fourth Quarter and year ended 31st March, 2026.
2)Recommendation of Dividend for the F.Y. 2025-2026, if any.",2026-05-04,https://www.bseindia.com/xml-data/corpfiling/AttachLive/97033a08-b17f-41da-9f19-252f7659d252.pdf,,(dropped),Dropped — Routine / Other,
68,BSE,LIC Housing Finance,Prior intimation for the investor call,2026-05-08,https://www.bseindia.com/xml-data/corpfiling/AttachLive/35c84f87-02fa-4911-8023-d0a8ff115a94.pdf,,(dropped),Dropped — Routine / Other,
69,BSE,LIC Housing Finance,"We are saddened to inform you of the untimely demise of Dr. Sanjay Dayal, Chief Operating Officer of the Company on May 9, 2026",2026-05-10,https://www.bseindia.com/xml-data/corpfiling/AttachLive/46c37883-7f04-4d8b-b386-949663263fc9.pdf,,Competitor Intelligence — Operational Signals,Kept,Dr. Sanjay Dayal · Death · 2026-05-09
70,BSE,LIC Housing Finance,"Press Release for March 31, 2026",2026-05-13,https://www.bseindia.com/xml-data/corpfiling/AttachLive/e8f20981-8408-4762-ab06-1a9caa11f31e.pdf,,(dropped),Dropped — Routine / Other,
71,BSE,LIC Housing Finance,Investor Presentation for March 2026,2026-05-13,https://www.bseindia.com/xml-data/corpfiling/AttachLive/d53ac678-2448-4a62-81c1-dc7d61a1e4c7.pdf,,(dropped),Dropped — Routine / Other,
72,BSE,LIC Housing Finance,Appointment of Shri Sandeep Kumar as Chief Operating Officer,2026-05-13,https://www.bseindia.com/xml-data/corpfiling/AttachLive/806aca2d-018f-4d6a-ab69-c5ae538a4678.pdf,,Competitor Intelligence — Operational Signals,Kept,Shri Sandeep Kumar · Appointment · 2026-05-13
73,BSE,LIC Housing Finance,"Outcome of Board Meeting dated 13th May, 2026",2026-05-13,https://www.bseindia.com/xml-data/corpfiling/AttachLive/f0965cb1-5f33-4687-8848-e0af3d5c4c09.pdf,,(dropped),Dropped — Routine / Other,
74,BSE,LIC Housing Finance,"Audited Financial result for the quarter and year ended March 31, 2026",2026-05-13,https://www.bseindia.com/xml-data/corpfiling/AttachLive/2944693e-36cd-4749-8e43-ec9d0938bf60.pdf,,(dropped),Dropped — Routine / Other,
75,BSE,LIC Housing Finance,Outcome of Investor Meet for Q4,2026-05-14,https://www.bseindia.com/xml-data/corpfiling/AttachLive/35b46501-c0e6-40d5-b30a-9b640459da05.pdf,,(dropped),Dropped — Routine / Other,
76,BSE,Repco Home Finance,"Repco Home Finance Ltdhas informed BSE that the meeting of the Board of Directors of the Company is scheduled on 21/05/2026 ,inter alia, to consider and approve 1. Audited Standalone and Consolidated Financial Results of the company for the quarter and financial year ended 31st March, 2026
2. consider and recommend final dividend, if any, to the shareholders of the company for the financial year 2025-26.
3.consider and recommend to the shareholders, ....",2026-05-14,https://www.bseindia.com/xml-data/corpfiling/AttachLive/c1a81487-842c-433f-9089-e5fe62fba647.pdf,,(dropped),Dropped — Routine / Other,
77,BSE,Shriram Housing Finance,"The Exchange has received the revised Disclosures of reasons for encumbrance by promoter of listed companies under Reg. 31(1) read with Regulation 28(3) of SEBI (SAST) Regulations, 2011 on April 30, 2026 for Shriram Ownership Trust",2026-05-02,https://www.bseindia.com/xml-data/corpfiling/AttachLive/0582F625_454E_4ACA_A5D4_E5BE9C0D2EE2_104332.pdf,,(dropped),Dropped — Routine / Other,
78,BSE,Shriram Housing Finance,"Transcript of Investors Earnings call for the fourth quarter and financial year ended March 31,2026",2026-05-04,https://www.bseindia.com/xml-data/corpfiling/AttachLive/278e04d1-97db-4692-a20f-b118741c8b9c.pdf,,(dropped),Dropped — Routine / Other,
79,BSE,Shriram Housing Finance,"The Allotment Committee - NCDs of the Company, in its meeting held today i.e. May 05, 2026, had allotted Non-Convertible Debentures on Private Placement basis as per the details given in Annexure A.",2026-05-05,https://www.bseindia.com/xml-data/corpfiling/AttachLive/6337a239-1c36-49b4-adca-837ee66c020d.pdf,,Competitor Intelligence — Funding & Capital,Kept,
80,BSE,Shriram Housing Finance,"The Exchange has received the revised Disclosures of reasons for encumbrance by promoter of listed companies under Reg. 31(1) read with Regulation 28(3) of SEBI (SAST) Regulations, 2011 on May 04, 2026 for Sanlam Life Insurance Ltd",2026-05-05,https://www.bseindia.com/xml-data/corpfiling/AttachLive/CFB7EBD3_34EE_420F_935A_DF4D51FAA3A7_103746.pdf,,(dropped),Dropped — Routine / Other,
81,BSE,Shriram Housing Finance,"Allotment of 1,44,142 Equity Shares on exercise of Fresh Stock Option under SFL ESOS 2023 (No. 1)",2026-05-07,https://www.bseindia.com/xml-data/corpfiling/AttachLive/c7e6aeaf-382b-46ea-a0d3-df131d97033f.pdf,,Competitor Intelligence — Funding & Capital,Kept,
82,BSE,Shriram Housing Finance,"Credit Rating by Moody''s Investor Service, Singapore",2026-05-09,https://www.bseindia.com/xml-data/corpfiling/AttachLive/e57a7be0-29c9-4609-9b1f-20e82a56c970.pdf,,Competitor Intelligence — Risk & Governance,Kept,
83,BSE,Shriram Housing Finance,"Certificate under Regulation 74(5) of SEBI (Depository Participants) Regulations, 2018.
Pursuant to  Regulation 74(5) of SEBI (Depository Participants) Regulations, 2018 we hereby confirm that :- 
i)  The Securities comprised in the certificates have been listed on the Stock Exchanges; (ii) Our Registrar to an Issue and Share Transfer Agent  M/s. Integrated Registry Management Services Private Limited(RTA) has issued the certificate dated May 11, 2026 is  attached herewith.",2026-05-11,https://www.bseindia.com/xml-data/corpfiling/AttachLive/52ea6abf-d290-4fee-979c-8b05b3ff2f6b.pdf,,(dropped),Dropped — Routine / Other,
84,BSE,Shriram Housing Finance,"Sub.: Disclosure pursuant to Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 (SEBI Listing Regulations, 2015).

Pursuant to Regulation 30 of the SEBI Listing Regulations, 2015, read with Schedule III thereto, this is informing that Fund/ Analysts/ Institutional Investor/ Broker/Broker Conference /meeting is scheduled to be held on Monday, May 18, 2026, which will be ....",2026-05-13,https://www.bseindia.com/xml-data/corpfiling/AttachLive/990ff1b3-4440-4c90-96b6-8d77dab77081.pdf,,(dropped),Dropped — Routine / Other,
